Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
1,4,2,6,1,44288,60918,1215,1105,1746,22130,14224,2,152,11,165
1,4,1,14,1,105632,147918,3984,2254,3391,48575,27328,51,1998,128,2177
1,4,7,14,0,128064,251269,1539,1408,2506,84046,32384,8,186,18,212
1,4,6,20,0,5994,9970,964,838,1254,6896,3998,11,235,34,280
1,4,6,13,0,6172,10417,718,684,906,7692,4234,1,64,22,87
1,4,6,3,0,4986,8198,662,614,788,5685,3230,2,92,28,122
1,4,5,13,0,6668,10701,669,642,943,7956,4696,3,53,13,69
1,4,5,7,1,5298,8875,657,575,874,5640,3206,5,140,38,183
1,4,4,3,0,35008,45508,621,597,768,8149,4864,0,48,8,56
1,4,3,13,1,5402,8891,700,633,1078,6733,3992,0,112,14,126
1,4,3,8,0,9880,12695,524,497,658,7072,4732,0,35,5,40
1,4,2,13,0,3334,5953,584,565,842,4954,2604,4,37,3,44
1,4,2,2,1,3130,5313,522,495,616,3821,2112,0,48,14,62
1,4,1,13,1,32208,55696,1933,1367,2123,43980,24720,6,766,109,881
1,4,1,2,0,20920,26026,705,642,913,13546,9768,1,96,18,115
1,4,7,14,0,3884,6406,518,483,597,4747,2686,1,57,13,71
1,4,7,13,0,4240,7057,601,542,730,5026,2868,3,114,21,138
1,4,6,9,0,3544,6156,509,482,701,5011,2746,1,51,6,58
1,4,6,3,1,3286,6276,504,458,633,4010,2162,1,87,27,115
1,4,5,9,0,71360,110172,1784,1732,3383,47977,25888,5,81,11,97
1,4,5,3,0,3824,6333,666,627,822,4447,2604,1,71,18,90
1,4,4,13,0,6360,11079,715,631,1028,6661,3864,9,164,52,225
1,4,4,5,1,3714,6385,537,481,645,4441,2512,5,91,26,122
1,4,3,13,1,46192,80227,1364,1096,1697,32842,16960,9,329,38,376
1,4,3,4,1,39568,47128,741,652,957,22022,16096,4,128,17,149
3,4,2,6,0,70912,94172,1374,1106,1267,42338,27232,1,379,40,420
1,4,1,3,0,4552,7253,471,444,569,4440,2664,1,52,24,77
1,4,7,10,0,4390,7004,484,453,602,4607,2862,1,63,26,90
1,4,7,3,0,4770,7716,494,455,632,5040,3114,2,97,25,124
1,4,6,9,1,2970,4649,421,390,544,3346,2044,2,56,9,67
3,4,6,4,0,34192,42092,338,322,389,22907,16464,1,36,7,44
1,4,5,13,0,5302,8769,624,566,979,6021,3606,4,138,26,168
1,4,5,3,0,5560,9301,642,586,984,6600,3916,7,142,24,173
1,4,4,13,0,4406,6769,477,433,571,4550,2830,1,75,15,91
1,4,4,3,1,5290,8132,612,570,857,6032,3794,1,89,14,104
1,3,5,14,1,3696,5824,517,474,742,4166,2650,2,63,16,81
1,3,4,14,1,6030,9579,735,659,1448,6956,4418,3,176,29,208
1,3,4,7,0,49632,1110282,1653,1480,2567,1107833,48368,7,227,15,249
2,3,3,15,0,9120,14759,951,937,1290,13246,8004,3,25,6,34
1,3,3,10,0,1874,2474,25,25,31,1483,1062,0,0,0,0
1,3,3,10,0,4122,7073,466,455,609,5827,3302,1,27,11,39
1,3,3,4,0,5080,8238,523,505,727,6630,3892,0,39,14,53
1,3,2,12,0,4068,7333,538,513,934,5914,3198,0,61,13,74
1,3,2,3,0,3272,6079,463,446,653,5079,2644,0,32,7,39
1,3,1,19,0,238,570,143,142,834,567,236,0,2,0,2
1,3,1,18,0,3358,5900,541,507,4550,4650,2800,8,109,3,120
1,3,1,18,0,6400,11941,735,726,8415,10987,5916,0,32,6,38
3,3,1,3,0,6876,10885,282,245,337,9403,5752,2,68,15,85
1,3,7,18,0,391,746,131,130,766,723,380,0,6,1,7
1,3,7,17,0,10844,22468,1409,1339,11064,18310,8848,4,213,13,230
1,3,7,15,0,5132,9067,398,398,1690,9065,5132,0,2,0,2
1,3,7,15,0,3772,6971,144,144,1033,6932,3758,0,3,0,3
3,3,7,14,0,2933,5144,24,23,26,3972,2012,0,6,0,6
1,3,7,12,0,4094,7469,206,203,1420,7451,4088,0,4,0,4
1,3,6,17,0,452,726,186,184,889,721,450,0,4,1,5
1,3,6,17,0,11420,23855,1411,1342,8049,16634,8032,12,211,14,237
1,3,6,15,0,5704,10510,452,450,2895,9348,5388,1,15,1,17
1,3,6,15,0,7192,12811,587,554,3941,11519,6616,11,95,4,110
1,3,6,13,1,9604,16557,1061,1037,9614,13618,7984,16,127,0,143
1,3,6,10,0,122944,457509,1373,1268,2106,72846,13184,0,136,13,149
3,3,6,6,0,5730,10083,103,71,97,8964,4830,2,32,15,49
1,3,6,3,0,4898,7960,560,528,719,6380,3730,1,76,9,86
1,3,5,10,0,4118,7355,546,526,675,6423,3466,1,28,7,36
1,3,5,4,1,1845,2670,9,9,9,1614,1008,0,0,0,0
1,3,4,13,0,34480,191207,1591,1156,1926,184270,30720,10,664,97,771
1,3,2,9,0,5338,9940,589,556,715,8146,3920,1,62,10,73
1,3,2,5,0,5312,9411,603,582,795,7034,3588,0,48,20,68
1,3,1,13,1,4412,8070,711,678,926,6937,3478,1,55,7,63
1,3,1,2,1,98816,125026,11452,11328,18115,16682,10336,10,197,21,228
1,3,7,10,1,7220,12735,2348,2300,3311,9837,5296,6,88,24,118
1,3,7,5,1,14320,21958,1850,1819,2170,9579,4664,2,59,6,67
1,2,6,13,1,27056,162816,2299,2127,2737,160270,25424,6,234,26,266
1,2,6,6,0,20528,33000,1876,1800,2654,14636,7632,3,148,21,172
1,2,5,12,0,6416,11459,1362,1313,1652,9122,4716,0,96,29,125
1,2,5,6,0,5786,10634,1237,1218,1526,9103,4764,4,49,15,68
1,2,4,12,0,5878,10508,1132,1087,1380,8471,4528,3,98,27,128
1,2,4,3,0,9528,16535,1383,1288,1834,11276,6260,14,198,70,282
1,2,3,13,0,8500,14157,1095,1029,1422,9670,5640,5,159,53,217
1,2,3,9,1,3796,6737,949,940,1192,5249,2694,1,22,6,29
1,2,3,6,0,28128,42940,2283,2190,3400,9183,4560,6,154,18,178
1,2,2,13,0,7228,12627,1239,1189,1612,9781,5348,5,128,32,165
1,2,2,3,1,5290,9100,1053,994,1326,6285,3578,2,129,32,163
1,2,1,13,0,55520,665792,4544,3586,6624,648611,47488,146,1546,181,1873
1,2,1,4,0,5880,10115,1291,1264,1878,8536,4884,5,79,11,95
1,2,7,13,1,10040,17029,1429,1346,2022,11744,6964,19,214,78,311
1,2,7,2,1,153536,497910,1713,1633,2493,8907,5696,8,134,34,176
1,2,6,13,0,158208,453213,2482,2319,3412,81938,20608,9,268,36,313
1,2,6,3,0,6484,10832,1166,1115,1441,7316,4280,4,128,38,170
1,2,5,13,1,4840,7466,949,923,1116,5362,3370,3,47,21,71
1,2,5,3,1,15880,51571,1188,1071,1410,47976,13560,1,200,37,238
1,2,4,12,0,15288,31467,1573,1401,2110,28247,13312,5,264,36,305
1,2,4,3,0,9528,16779,1245,1175,1725,11885,6672,10,193,61,264
3,2,3,13,0,9356,14986,448,381,505,13919,8460,4,114,13,131
1,2,3,3,0,7732,13264,1066,1002,1336,8753,4880,7,160,57,224
1,2,2,13,0,5240,8893,857,837,1020,7420,4232,0,46,15,61
1,2,2,4,1,7132,12060,1004,944,1226,8294,4736,4,136,42,182
1,2,1,12,0,21928,39641,1512,1479,1837,6338,3672,0,73,13,86
1,1,6,16,1,5754,9238,1179,1143,1452,6101,3546,0,65,19,84
1,1,6,10,1,37088,10966,2728,2288,3183,66311,34352,7,579,47,633
3,1,6,4,0,39600,7927,572,496,581,12522,8176,1,101,5,107
1,1,5,13,0,5536,8745,1141,1099,1461,5225,3098,1,74,31,106
1,1,5,4,0,6056,10325,1117,1078,1427,6823,3788,7,84,36,127
1,1,4,11,0,11484,20696,1762,1635,2741,8774,5124,56,360,99,515
3,1,4,4,1,4938,7910,66,63,70,6625,3804,0,5,2,7
1,1,3,10,0,66784,9456,2969,2833,3645,17809,11328,3,187,36,226
1,1,3,3,0,5526,8779,1096,1058,1399,5732,3412,2,69,26,97
1,1,2,7,0,5040,8367,1062,1023,1348,5485,3068,2,82,24,108
3,1,2,2,0,5168,8371,66,59,71,7041,3996,0,12,2,14
1,1,1,12,0,5034,8030,1020,993,1243,5340,3094,2,56,25,83
1,1,1,2,0,4908,7491,957,937,1153,4642,2842,1,44,21,66
1,1,7,10,0,9700,17442,1407,1271,2007,8872,4876,21,277,80,378
1,1,7,2,0,4800,7754,975,938,1278,4932,2820,1,74,28,103
1,1,6,11,0,5280,8703,951,911,1237,5757,3300,1,79,30,110
1,1,6,3,1,6184,10228,956,901,1140,6085,3502,1,105,46,152
3,1,5,11,0,45920,5808,753,655,763,15766,10720,0,128,9,137
1,1,1,2,0,8412,13960,1179,1111,1632,8632,5348,17,185,55,257
1,1,7,10,0,5400,9218,810,756,1003,5654,3230,10,125,41,176
1,1,7,2,0,4684,7536,733,708,985,4750,2876,5,53,26,84
1,1,5,8,0,3480,6229,537,508,687,3961,2104,0,53,22,75
1,1,5,2,0,3778,7216,625,572,795,4742,2388,4,93,18,115
1,1,4,11,0,4156,7564,626,574,832,4534,2452,7,91,38,136
1,1,4,4,,4188,7292,564,524,743,3861,2200,0,91,28,119
